NPN;construction;preposition;noun;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
prove su prove;no;su;prova;Niente di peggio per cominciare un'altra settimana di esperimenti,;prove su prove;, verifiche e analisi di tutto ciò che non aveva funzionato come avrebbe dovuto.;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;yes;a;uomo;Ci siamo stretti con forza, nell'abbraccio da;uomo a uomo;che avevamo codificato la prima volta quando era venuto a prendermi al residence sulla collina.;sg;PNPN;yes;distractor;_
grado a grado;yes;a;grado;Catturato dalle sempre più sottili distinzioni e puntualizzazioni che lo conducono;grado a grado;"verso le profondità del microcosmo, il lettore ha la sorpresa di trovarsi alla fine in un terreno che ha le dimensioni dell'universo e un colore umano inconfondibile: E fortuna d'essermi senza volere trovato quasi solo usufruttuario d'un territorio senza confini, in un mondo spezzettato ormai in tante proprietà private, dove non è più palmo che non sia chiuso da cancelli cinto da filo spinato, ringhioso di cani da guardia; desideroso io solo di qualcosa che nessuno mi disputa, nessuno anzi vede (e se chi passa chiede, alla spiegazione sorride incredulo o commiserante).";sg;_;_;succession/iteration/distributivity;modifier
legni su legni;yes;su;legno;Le avanguardie, paradossali e inverosimili, enigmatiche, che mettono insieme una maniglia e la dalia paonazza di un dolore acuto, che lanciano fiamme su tesi materiali da imballaggio, che inchiodano;legni su legni;con chiodi di già arrugginiti, di già tutti ritorti, rimediati, e che incollano, coi liquami dei colori industriali, cortecce che di una guerra hanno visto di striscio un fuggiasco che correva slacciandosi la corazzetta coi muscoli sbalzati... ecco chi scrive la storia: chi raccatta gli aneddoti, ci sputa dietro e te li appiccica in fronte, e taglia e cuce, senza badare per niente all'armonia, al bell'insieme... cosa significa?;pl;_;_;greater_plurality/accumulation;nominal
 Vichy su Vichy;yes;su;Vichy;Citazione: si esattamente erano collaborazionisti esattamente come tutta la repubblica;Vichy su Vichy;non ci piove, ma sulle SS permettimi di dissentire per due motivi: - arruolamento volontario - giuramento di fedeltà al fuhrer e allla causa nazional-socialista - iniziazione mistica.;X;N_extended;no;distractor;_
uomo a uomo;yes;a;uomo;"""È solo una questione di tempo"", secondo Webster, e il virus H5N1, prima o poi, farà il salto della specie, propagandosi da";uomo a uomo;.;sg;PNPN;yes;distractor;_
km su km;yes;su;km;Novità più significative, figlie di questo nuovo modo di intendere la speleologia, sono le esplorazioni all'OPIII, alla Feruglio, nel Complesso del Foran del Muss (che macinando;km su km;e giunzioni su giunzioni, sta insidiando l'adiacente Complesso del Col delle Erbe, da oltre 25 anni al primo posto nella classifica delle grotte più estese), e il Led Zeppelin, che è divenuta la più profonda cavità della regione.;sg;_;_;greater_plurality/accumulation;nominal
colpo su colpo;no;su;colpo;"Non rivolgerti con tono sferzante ad alcuno coloro ai quali ti rivolgerai in questo modo ti potrebbero rispondere nello stesso modo: le ingiurie sono dolorose;";colpo su colpo;, esse ricadranno sopra di te.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;no;a;corpo;Elias insegnava ai popolani come schierarsi in falange, puntare le picche, affrontare un uomo;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
saponi su saponi;yes;su;sapone;Mi lavo e mi rilavo, svaniscono;saponi su saponi;, asciugamani e salviette si impregnano d'acqua.;pl;_;_;greater_plurality/accumulation;nominal
