context_pre	pre_lemma
aggiungere	aggiungere
da	da
nubi,	nube
da	da
da	da
da	da
fratelli,	fratello
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
contrapporre	contrapporre
da	da
da	da
da	da
da	da
da	da
da	da
aggiungere	aggiungere
da	da
da	da
da	da
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
a	a
a	a
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
queste	questo
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
"""	da
da	da
da	da
a	a
da	da
aggiungere	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
aggiungere	aggiungere
da	da
a	a
da	da
a	a
a	a
aggiungere	aggiungere
aggiungerebbe
aggiungere	aggiungere
sommo	sommare
da	da
di	di
aggiungono	aggiungere
da	da
aggiunse	aggiungere
impraticabile	impraticabile
aggiungere	aggiungere
aggiungerebbe	aggiungere
da	da
solo	solo
aggiunge	aggiungere
da	da
aggiungi	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
""da"	da
da	da
a	a
aggiungere	aggiungere
da	da
da	da
da	da
da	da
da	da
saldare	saldare
da	da
da	da
da	da
500	500
da	da
a	a
a	a
confusa	confuso
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
genitori,	genitore
da	da
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
da	da
(da	da
da	da
a	a
a	a
a	a
da	da
da	da
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
,	luogo
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
naviganti	navigante
amico	amico
da	da
da	da
da	da
accostare	accostare
da	da
da	da
aggiungendo	aggiungere
carte,	carta
da	da
da	da
da	da
da	da
da	da
da	da
contrappone	contrapporre
da	da
da	da
da	da
da	da
da	da
aggiunge	aggiungere
da	da
da	da
da	da
da	da
aggiungono	aggiungere
da	da
da	da
magnetismo	magnetismo
da	da
aggiungere	aggiungere
da	da
da	da
Gerusalemme	Gerusalemme
tanto	tanto
aggiungono	aggiungere
aggiungendo"	aggiungere
nomi,	nome
a	a
da"	da
da	da
da	da
da	da
impressi	imprimere
da	da
(da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
pensiero	pensiero
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
industriali	industriale
da	da
da	da
a	a
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
primi	primo
da	da
da	da
da	da
aggiungere	aggiungere
da	da
morali	morale
da	da
da	da
da	da
da	da
da	da
a"	a
da	da
da	da
sommano"	sommare
da	da
aggiungere	aggiungere
da	da
da	da
da	da
da	da
vecchie	vecchio
aggiungeva	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
aggiunge"	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
congiunge	congiungere
una	uno
della	del
da	da
da	da
da	da
da	da
sommando	sommare
aggiungere	aggiungere
aggiungere	aggiungere
aggiunge	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
sua	suo
da	da
aggiunse"	aggiungere
da	da
a	a
a	a
a	a
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
aggiungere	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
di	di
da	da
da	da
a	a
aggiungi	aggiungere
miti,	mito
da	da
da	da
da	da
da	da
a	a
pettine	pettine
a	a
da	da
da	da
da	da
dolore,	dolore
aggiungeva	aggiungere
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da	da
da"	da
da"	da
da"	da
da	da
da	da
da	da
ovunque	ovunque
da"	da
a	a
da	da
da	da
aggiungendo	aggiungere
a	a
eccezioni	eccezione
a	a
a	a
a	a
malinconicamente,	malinconicamente
lo	il
sullo	sul
squallido	squallido
Palermo:	Palermo
inchiodatissimo	inchiodatissimo
sullo	sul
da	da
sullo	sul
finito	finire
pareggiare	pareggiare
uno	un
sullo	sul
da	da
dello	del
striminzito	striminzito
da	da
sullo"	sul
dallo	dal
finisce	finire
sullo	sul
sullo	sul
sullo	sul
