NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
volta a volta;yes;a;volta;essere;Una ulteriore complicazione dello schema risulterebbe se considerassimo come i destinatari grammaticali delle ottave dei poeti possano essere;volta a volta;, e anche nella medesima ottava, il proprio antagonista o il pubblico medesimo.;sg;_;_;succession/iteration/distributivity;modifier
uomini su uomini;no;su;uomo;di;Perché ogni governo è di;uomini su uomini;.;pl;thematic_target;no;distractor;_
volta a volta;yes;a;volta;cui;Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui,;volta a volta;, è impegnato.;sg;_;_;succession/iteration/distributivity;modifier
verbali su verbali;yes;su;verbale;pubblicare;Insomma, nel corso di Tangentopoli i mass media hanno pubblicato;verbali su verbali;ancora freschi d'inchiostro e rivelato notizie coperte da segreto istruttorio.;pl;_;_;greater_plurality/accumulation;nominal
testa a testa;yes;a;testa;essere;Seduti a un tavolino erano;testa a testa;il luminare di Oxford e il cameriere, l'instancabile cercatore della tomba, sorbendo una tazza di tè.;sg;_;_;juxtaposition/contact;modifier
goccia a goccia;yes;a;goccia;centellinare;Era solito compiacersi nel centellinare;goccia a goccia;l'esposizione delle proprie opinioni per tenere in sospeso gli ascoltatori.;sg;_;_;succession/iteration/distributivity;modifier
fronte a fronte;yes;a;fronte;trovare;Hussein, alla minaccia di trovarsi;fronte a fronte;con Amintore e soprattutto con Maria Pia, ha pianto lungamente e voleva far caricare sul jumbo anche un paio di emiri kuwaitiani con tutte le mogli e figli.;sg;_;_;juxtaposition/contact;modifier
bocca a bocca;yes;a;bocca;respirazione;Nessuno parla dell'impiegato di banca che non è corrotto e che magari un giorno ha salvato la vita a un collega facendogli la respirazione;bocca a bocca;.;sg;_;_;juxtaposition/contact;modifier
mani su mani;no;su;mano;fare;Anche il testo della canzone era stato scritto per essere abbastanza esplicativo e per mostrare cosa si sarebbe dovuto fare (;mani su mani;giù mani dove vuoi) ma l'immagine dei Ricchi & Poveri non era tale da poter imporre un ballo inventato di sana pianta anche perché non c'era più la moda di inventarne di nuovi per il tramite di una canzone lanciata appositamente.;pl;NsuNgiù;yes;distractor;_
10 su 10;no;su;10;se;Vorrei che ogni italiano, o almeno 8 su 10 sappiano cosa sia la Milano Sanremo, se;10 su 10;sanno cosa è il Giro.;X;NumPNum;no;distractor;_
bocca a bocca;yes;a;bocca;respirazione;Se non è possibile la respirazione;bocca a bocca;si può tentare una respirazione manuale la cui efficacia è molto inferiore.;sg;_;_;juxtaposition/contact;modifier
