NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
memoria su memoria;yes;su;memoria;essere;Se voi mi chiedete come ciò possa essere -;memoria su memoria;, nient'altro che memoria - io ovviamente non so rispondere, e non perché non esistano «io» e «voi», non più di quanto esistano «qui» e «ora», ma perché l'unica cosa che esiste è il passato ricordato, non ritrovato e - attenzione alla differenza - non rivissuto nell'immediatezza del regno sensoriale, ma semplicemente ritrasmesso.;sg;_;_;succession/iteration/distributivity;modifier
velo su velo;yes;su;velo;strada;Il vento era ancora leggero, ma prometteva tempesta, la sabbia volava bassa e copriva le strade,;velo su velo;.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;yes;a;corpo;combattere;Ma anche questa volta per occupare la Città Santa devono combattere;corpo a corpo;con i palestinesi per annientare la resistenza araba.;sg;_;_;juxtaposition/contact;modifier
sbagli su sbagli;yes;su;sbaglio;collezionare;Aveva sempre permesso che loro ne approfittassero – una masochistica consapevolezza che la portava a collezionare;sbagli su sbagli;.;pl;_;_;greater_plurality/accumulation;nominal
zolla a zolla;yes;a;zolla;conoscere;Per cui nessuno ci pensa al povero animale che bazzica senza meta nel ben delimitato territorio, che ormai conosce;zolla a zolla;.;sg;_;_;succession/iteration/distributivity;modifier
mille su mille;no;su;mille;sembrare;Il prezzo è stato 8.500 che mi sembra,; mille su mille;giù in linea con quello che si vede in giro.;sg;NsuNgiù;yes;distractor;_
corpo a corpo;yes;a;corpo;scontro;Per contro la loro forze e il loro fisico non sono assolutamente adatti nello scontro;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
km su km;no;su;km;poi;e non può che migliorare col tempo, poi;km su km;giù porto pazienza.;sg/pl;NsuNgiù;yes;distractor;_
volta a volta;yes;a;volta;comprendere;Chiarite le tappe di questo itinerario, resta solo da comprendere,;volta a volta;, a quale di esse si trovi un'anima, quale stadio di sviluppo abbia raggiunto una comunità o un popolo, per partire da ciò che hanno compreso e condurli, secondo i tempi di crescita stabiliti da Dio, alla pienezza della conoscenza divina.;sg;_;_;succession/iteration/distributivity;modifier
fotogramma a fotogramma;yes;a;fotogramma;costruire;Una mitologia personale, insomma, costruita;fotogramma a fotogramma;"ritagliandomi di netto ciò che è necessario per un Olimpo fatto in casa: un pugno di tragedie sofoclee, uomini ed eroi, martiri casuali, omicidi senza fonte e senza fine; oppure: confondendo l'universo condiviso con gli album personali: eccola una foto di mio padre tale e quale a Satta Flores in C'eravamo tanto amati.";sg;_;_;succession/iteration/distributivity;modifier
persona a persona;no;a;persona;da;"Questa ""soglia di diversità"", come chiamiamo il punto di svolta, può differire da";persona a persona;.;sg;PNPN;yes;distractor;_
corpo a corpo;yes;a;corpo;legare;"Dodici fra loro, originari di Lebbeke, si erano rifugiati nella fattoria di Ottavio Vernulst; essi furono legati";corpo a corpo;e condotti dietro alla fattoria, dove vennero massacrati.;sg;_;_;juxtaposition/contact;modifier
3 su 3;no;su;3;fecondare;Per nostra fortuna sono stati fecondati;3 su 3;, il 100 %, pronti per essere impiantati in utero.;X;NumPNum;no;distractor;_
volta a volta;yes;a;volta;rinvio;Quindi il contratto collettivo si è affermato nella realtà concreta della gestione dei rapporti di lavoro o per forza propria ovvero in ragione dei rinvii;volta a volta;operati dal legislatore.;sg;_;_;succession/iteration/distributivity;modifier
Pisa su Pisa;no;su;Pisa;di;Martedì sera Umberto ha avuto una trovata che per poco non ha reso innocuo il pericolante edificio di insulti che ogni puntata pende su di lui, come la Torre di;Pisa su Pisa;.;X;proper_name_inglobation;no;distractor;_
porta a porta;yes;a;porta;distribuzione;Poi i certificati verranno consegnati ai vigili che incominceranno la distribuzione;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
telegrammi su telegrammi;yes;su;telegramma;mandare;E quanto alla nonna, che ci può essere di più comico e disgustoso che mandare;telegrammi su telegrammi;domandando continuamente: è morta o non è morta?.;pl;_;_;greater_plurality/accumulation;nominal
corpo a corpo;yes;a;corpo;battaglia;La guerriglia urbana, la battaglia;corpo a corpo;nelle strade della capitale è proprio quello che al Pentagono vogliono evitare.;sg;_;_;juxtaposition/contact;modifier
sedia su sedia;no;su;sedia;esempio;Le ragioni della priorità psicologica di, per esempio,;sedia su sedia;"a dondolo o mobilio sono percettive e morfologiche (percepiamo una sedia come una gestalt unitaria più facilmente del mobilio; associamo più facilmente un’immagine al livello base che agli altri), funzionali (abbiamo un programma motorio generale per interagire con le sedie, ma non con il mobilio), linguistiche e comunicative (il livello base contiene in media più attributi e dà più informazioni degli altri), di apprendimento (i bambini imparano prima i termini del livello base; inoltre spesso i termini del livello base sono più brevi e meno complessi degli altri).";sg;N_extended;no;distractor;_
porta a porta;yes;a;porta;raccogliere;Entro fine anno il vetro si raccoglierà;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
zero a zero;no;a;zero;sul;"Professa inoltre antipatia per certi traslati volenterosamente spiritosi, come ""risultato occhiali"" per intendere una partita finita sullo";zero a zero;.;sg;NumPNum;no;distractor;_
porta a porta;yes;a;porta;Spagna;Nella prefazione ho accennato al piccolo libro Dame al Macao di Alberto Arduini, raffinatissimo antiquario romano con negozio prima in via Frattina, poi in piazza di Spagna;porta a porta;con la KeatsShelley Memorial.;sg;_;_;succession/iteration/distributivity;modifier
fogli su fogli;yes;su;foglio;togliere;Non facevo altro che togliere;fogli su fogli;di giornali sporchi di merda dalla sua gabbia.;pl;_;_;greater_plurality/accumulation;nominal
collisione a collisione;no;a;collisione;da;A parità di peso atomico, il rapporto E1 E2 è compreso tra 1 e (1 + a) 2, anche se in realtà J varia statisticamente da;collisione a collisione;.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;da;Al momento risulta che il contagio umano da influenza aviaria avviene con il contatto diretto con animali infetti, non si hanno prove di una trasmissione del virus da;uomo a uomo;.;sg;PNPN;yes;distractor;_
pietra su pietra;yes;su;pietra;cumulativamente;"È necessario fare chiarezza su tali aporie (si ricordi il senso della ‘spiegazione’ in Kant!) ; la filosofia non procede cumulativamente, ‘";pietra su pietra;, né può pensare di porre ordine nel linguaggio che effettivamente parliamo ricorrendo al ‘modello’ di ideografie, valide soltanto nell’ambito di procedure logico-matematiche.;sg;_;_;succession/iteration/distributivity;modifier
punto a punto;no;a;punto;da;Il computer può trattare frasi che arrivino a un massimo di 1500 caratteri da;punto a punto;.;sg;PNPN;yes;distractor;_
Android su Android ;no;su;Android ;di;Attualmente è necessario impostare la versione minima di;Android su Android;7,0 (API 24-torrone) per distribuire l'app in dispositivi o emulatori torrone Android.;X;proper_name_inglobation;no;distractor;_
controlli su controlli;yes;su;controllo;volante;Strade bloccate, frontiere minate, posti di blocco volanti,;controlli su controlli;, ormai il Kosovo è solo questo.;pl;_;_;greater_plurality/accumulation;nominal
Pippo su Pippo;no;su;Pippo;su;La spesa per la riparazione, ammontante a venti euro, da ripartirsi tra tutti i condomini, graverà: su Martino su;Pippo su Pippo;e Martino in parti uguali per un terzo su Martino e per due terzi su Pippo.;X;N_extended;no;distractor;_
periodi su periodi;no;su;periodo;avere;Tornando al banco,devo dire che i suoi dischi li amo tuttora,certo hanno avuto;periodi su periodi;ma son sempre stati più che dignitosi.;pl;NsuNgiù;yes;distractor;_
2 su 2;no;su;2;con;Il MF salernitano si è portato da solo al comando con;2 su 2;, poi ha perso con Braga, ma la vittoria al sesto turno con Belotti lo ha ricatapultato da solo al primo posto a quota 4.5 su 6.;X;NumPNum;no;distractor;_
teglie su teglie;yes;su;teglia;grigliato;Un gigantesco pesce spada grigliato,;teglie su teglie;di parmigiana di melanzane, treccione di mozzarella di bufala, pasta con le zucchine fritte, crocchette ed arancini, una gigantesca torta di panna al limone, sfogliatelle e babà al rhum.;pl;_;_;greater_plurality/accumulation;nominal
uomo a uomo;no;a;uomo;da;Il chirurgo si accorse che dopo un normale trapianto da;uomo a uomo;alcune cellule provenienti dal nuovo organo invadono i tessuti dell'ospite.;sg;PNPN;yes;distractor;_
base su base;no;su;base;di;Agenzia Nazionale per la Ricerca (ANR), creata nel 2007 per finanziare progetti di ricerca di;base su base;competitiva.;sg;N_extended;no;distractor;_
zero a zero;no;a;zero;sul;Valzer dei cambi (si fa male anche Lima), Cassano tenta il colpaccio nel finale ma il risultato rimane sullo;zero a zero;.;sg;NumPNum;no;distractor;_
volta a volta;yes;a;volta;prepuzio;Di lì, stringendo di nuovo con forza, la mano ripartiva verso il basso dell'asta, tendendo il prepuzio,;volta a volta;strangolando la carne tumescente o allentando la stretta, sfiorando appena la mucosa o molestandola, massaggiando con grandi movimenti del polso oppure tormentando con brevi colpi senza pietà... Il glande, raddoppiato di volume, si infuocava e sembrava ad ogni istante sempre più prossimo a esplodere.;sg;_;_;succession/iteration/distributivity;modifier
uomo a uomo;no;a;uomo;da;Così ho inforcato la Chevrolet e girato per mezz'ora fra quei prefabbricati, cercando di capire dove si annidasse il marito: intendevo parlargli da;uomo a uomo;.;sg;PNPN;yes;distractor;_
copie su copie;yes;su;copia;accatastare;Nel suo ufficio sono accatastate;copie su copie;della Fattoria degli animali di Orwell: il contributo del governo britannico all'insegnamento dell'inglese nelle scuole afghane e una lezione elementare sui danni del marxismo, messa in bocca a un maiale.;pl;_;_;greater_plurality/accumulation;nominal
file su file;yes;su;file;incassare;Il salotto era ampio e le pareti, nelle quali erano incassate;file su file;"di scaffali laccati di nero, erano tappezzate di una stoffa damascata in cui il nero prevaleva sul rosso; divano e poltrone erano rivestiti dello stesso tessuto delle pareti e i tappeti armonizzavano con il resto dell'arredamento";pl;_;_;greater_plurality/accumulation;nominal
persona a persona;no;a;persona;da;Già, perché l'orecchio è come un'impronta digitale: la sua dimensione, la sua forma, la sua curvatura, cambiano da;persona a persona;e non si modificano col tempo.;sg;PNPN;yes;distractor;_
app su app;no;su;app;di;Per quanto riguarda la connessione mobile, 3g o 4g, le cose sono più complesse perché apple non permette di farlo nativamente, né naturalmente permette la presenza di;app su app;store che lo facciano per noi.;sg/pl;proper_name_inglobation;no;distractor;_
capelli su capelli;no;su;capello;di;Quindi, ad esempio, lo stesso taglio di;capelli su capelli;lisci e ricci apparirà completamente diverso. pertanto quando scegli un taglio di capelli, oltre al tipo di viso, considera anche il tipo di capelli.;pl;N_extended;no;distractor;_
Berlusconi su Berlusconi;no;su;Berlusconi;di;Va bene bene pubblicare in prima pagina una barzelletta di;Berlusconi su Berlusconi;, ma vi sia perlomeno il buon senso di dire al titolista di non mettere come titolo LA BATTUTA finale...;X;thematic_target;no;distractor;_
volta a volta;yes;a;volta;incarnazione;Per questo uomini non sprovveduti hanno pensato, nel corso dei secoli, ai Signori o al Re del Mondo, forse non una persona fisica, un ruolo, un ruolo collettivo, l'incarnazione;volta a volta;provvisoria di una Intenzione Stabile.;sg;_;_;succession/iteration/distributivity;modifier
confine a confine;no;a;confine;da;"In Finlandia si disputa la marcia sciistica non competitiva più lunga del mondo: la Rajalta rajalle - hiihto (che tradotto dal finlandese significa ""Sciata da";confine a confine;"""), più di 400 chilometri percorsi costeggiando il Circolo polare artico da Saunavaara, vicino alla Russia, fino alla Svezia.";sg;PNPN;yes;distractor;_
pezzo a pezzo;yes;a;pezzo;via;Si era riparato in fondo al terrazzo, sotto a un pergolato che il vento stava portandosi via;pezzo a pezzo;, e tutt'insieme non solo il fumo gli si era parato davanti, ma bello e chiaro tutto il vapore, così vicino dentro la lente del cannocchiale che a momenti si vedevano i peli del naso a quelli di bordo.;sg;_;_;succession/iteration/distributivity;modifier
borotalco su borotalco;yes;su;borotalco;mettere;Il suo amore per i libri era nato là, a mettere;borotalco su borotalco;sui libri della biblioteca della scuola, borotalco melmoso e poi ancora borotalco melmoso alla pagina dopo - se eri riuscito a scollarla - tra risate e chiacchiere frenetiche, programmando impraticabili scherzi.;sg;_;_;greater_plurality/accumulation;nominal
persona a persona;no;a;persona;da;Per alcune malattie genetiche esiste una cura ma, di nuovo, questa può variare da;persona a persona;, con differenze significative nei risultati.;sg;PNPN;yes;distractor;_
100 su 100;no;su;100;e;Anni dopo Bernardini ripropone lo stesso quesito in una scuola elementare, e;100 su 100;"rispondono: "" 50 anni """;X;NumPNum;no;distractor;_
porta a porta;yes;a;porta;vendere;Il suo quarto marito le passava a quelli che le vendevano;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
segherie su segherie;yes;su;segheria;apparire;Il primo odore è quello di legno e infatti dopo poche centinaia di metri appaiono;segherie su segherie;con collinette artificiali fatte di trucioli ed assi dappertutto.;pl;_;_;greater_plurality/accumulation;nominal
5 su 5;no;su;5;di;Questa volta è la Juventus a sbagliare di meno, anzi a non sbagliare proprio nulla visto che mette a segno uno score di;5 su 5;, mentre per il Milan è fatale l' errore di Brocchi.;X;NumPNum;no;distractor;_
corpo a corpo;yes;a;corpo;combattere;Nella tradizione cristiana, durante i giorni di Pasqua si legge un versetto in latino che dice in modo mirabile che la vita e la morte combattono;corpo a corpo;.;sg;_;_;juxtaposition/contact;modifier
donna a donna;no;a;donna;da;La signorina Griffin ed io abbiamo fatto una lunga chiacchierata, da;donna a donna;, ed abbiamo tratto il massimo l'una dall'altra.;sg;PNPN;yes;distractor;_
verbali su verbali;yes;su;verbale;elevare;Un uomo dalla finestra di casa osserva i pizzardoni mentre elevano;verbali su verbali;.;pl;_;_;greater_plurality/accumulation;nominal
zero a zero;no;a;zero;finire;Il primo tempo è finito;zero a zero;.;sg;NumPNum;no;distractor;_
zero a zero;no;a;zero;striminzito;Non solo il pareggio in campionato con il Piacenza, ma anche uno striminzito;zero a zero;con la Reggiana in coppa Italia.;sg;NumPNum;no;distractor;_
volta a volta;yes;a;volta;cui;Mangi, beva, dorma, suoni, lavori o vada a spasso con la sua splendida ragazza tunisina, qualunque cosa faccia, non sopporta di essere distratto da ciò in cui,;volta a volta;, è impegnato.;sg;_;_;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;polivitaminico;Così, cominciò a vendere polivitaminici;porta a porta;.;sg;_;_;succession/iteration/distributivity;modifier
persona a persona;no;a;persona;da;"È qui che si applica la nozione di ""contingenza"": è una cosa vostra, connessa con la vostra esperienza, relativa a eventi che variano da";persona a persona;.;sg;PNPN;yes;distractor;_
uomo a uomo;no;a;uomo;da;Ci siamo stretti con forza, nell'abbraccio da;uomo a uomo;che avevamo codificato la prima volta quando era venuto a prendermi al residence sulla collina.;sg;PNPN;yes;distractor;_
pagine su pagine;yes;su;pagina;disposizione;L'uomo aveva sempre a disposizione;pagine su pagine;bianche, lavate dal suo alito.;pl;_;_;greater_plurality/accumulation;nominal
ferro su ferro;no;su;ferro;di;Il valore del coefficiente di a. volvente del;ferro su ferro;"è per es. 0,005; quello radente, 0,21; l' a. volvente della gomma su strada, 0,02; quello radente, 0,07.";sg;N_extended;no;distractor;_
strada su strada;no;su;strada;di;In tal modo l'aquaplaning viene scongiurato e la tenuta di;strada su strada;bagnata e innevata è ottimale.;sg;N_extended;no;distractor;_
albero ad albero;no;a;albero;da;Non un solo silenzio, ma parecchi: quello del muschio sotto i piedi, quello delle ombre da;albero ad albero;, il silenzio di un piccolo ruscello in esplorazione di pezzetti di terreno, i silenzi che lo attorniavano mentre sbucava su una radura.;sg;PNPN;yes;distractor;_
uomo su uomo;no;su;uomo;di;Con lo spargimento di sangue innocente (sopruso di;uomo su uomo;) che ne consegue.;sg;thematic_target;no;distractor;_
uomini su uomini;no;su;uomo;di;E quanto andiamo studiando ci insegna che le società organizzate, precedenti a quelle classiste, precedenti quindi alla comparsa della schiavitù e di ogni sfruttamento di;uomini su uomini;, accumulavano una straordinaria quantità di energia e l'applicavano alla modifica dell'ambiente (edifici monumentali, infrastrutture, produzione materiale) senza spezzarne l'equilibrio.;pl;thematic_target;no;distractor;_
pezzo a pezzo;yes;a;pezzo;spolpare;Salviamola, finché siamo ancora in tempo, dai barbari che l'hanno invasa e spolpata;pezzo a pezzo;.;sg;_;_;succession/iteration/distributivity;modifier
volta a volta;yes;a;volta;essere;I contributi alla comune cultura europea possono essere;volta a volta;preziosissimi come nel caso della libreria di Jim Stirling nei giardini della Biennale di Venezia o invece di una disarmante superficialità come nelcaso del progetto vincitore della nuova uscita del museo degli Uffizi a Firenze.;sg;_;_;succession/iteration/distributivity;modifier
strati su strati;yes;su;strato;da;L'edificio era chiuso con assi di legno e fregiato da;strati su strati;di graffiti.;pl;_;_;greater_plurality/accumulation;nominal
categoria a categoria;no;a;categoria;da;Analogamente può essere trasferito da categoria a categoria e da specialità a specialità il sottufficiale e il volontario in congedo della Marina militare, da ruolo a ruolo e da;categoria a categoria;il sottufficiale e il volontario in congedo dell'Aeronautica militare.;sg;PNPN;yes;distractor;_
novità su novità;yes;su;novità;incessantemente;In questo tipo di visione non vi è comprensione o rapporto originario con la verità, ma un tentativo di fuggire dal proprio essere - nel - mondo cercando incessantemente;novità su novità;.;sg/pl;_;_;greater_plurality/accumulation;nominal
vacche su vacche;no;su;vacca;caricare;È suo il conio del palidromo accavallavacca (strumento per caricare;vacche su vacche;", o vacche su cavalli; vedi anche alle voci lavacavalli e vacca).";pl;thematic_target;no;distractor;_
persona a persona;no;a;persona;da;Il virus della nuova influenza A si trasmette come una normale influenza stagionale, da;persona a persona;"; febbre, tosse, mal di testa e dolori muscolari sono i sintomi che, nella maggior parte dei casi, si risolvono senza complicazioni.";sg;PNPN;yes;distractor;_
37 su 37;no;su;37;essere;Nella votazione delle due di notte eravamo;37 su 37;e alla fine è scoppiato un applauso.;X;NumPNum;no;distractor;_
80 su 80;no;su;80;prendere;"Alla risposta: ""dovevate o dovevano studiare di più"" noi replichiamo in questo modo: ""anche se tutti gli studenti avessero preso";80 su 80;comunque tantissimi sarebbero tornati a casa!;X;NumPNum;no;distractor;_
fiume a fiume;no;a;fiume;da;L'intero universo si inchinò al tirannosauro: io mi chiudevo dentro al guscio o balzavo da;fiume a fiume;.;sg;PNPN;yes;distractor;_
porta a porta;yes;a;porta;venditore;L'Ambiente oggi cerca 20 distributori (uno per ogni regione) più venditori;porta a porta;in tutta Italia.;sg;_;_;succession/iteration/distributivity;modifier
pagine su pagine;yes;su;pagina;divorare;Perché c'è chi riesce a fartelo drizzare, chi riesce a farti ridere, chi a farti passare la notte divorando;pagine su pagine;per capire chi era l'agente segreto che cagava rubini, chi riesce a farti venire appetito e a farti tornare a Bangkok quando invece sei a casa tua, ad ognuno la sua specialità.;pl;_;_;greater_plurality/accumulation;nominal
uomo su uomo;no;su;uomo;qui;"Il problema del potere si ripresenta qui; il potere d'";uomo su uomo;.;sg;thematic_target;no;distractor;_
zero a zero;no;a;zero;da;Ora ancora in Germania si riparte quasi da;zero a zero;.;sg;NumPNum;no;distractor;_
porta a porta;yes;a;porta;raccolta;Nel 2002 è tra i tecnici che collaborano all'attivazione della raccolta;porta a porta;in alcuni Comuni della Provincia di Torino.;sg;_;_;succession/iteration/distributivity;modifier
fiocco a fiocco;yes;a;fiocco;cadere;La neve continuava a cadere,;fiocco a fiocco;a fiocco accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.;sg;_;_;succession/iteration/distributivity;modifier
Arezzo su Arezzo;no;su;Arezzo;di;La posizione del Comune di;Arezzo su Arezzo;Fiere è chiarissima.;X;proper_name_inglobation;no;distractor;_
