ID;preposition;pre_lemma;meaning;NPN;construction;syntactic_function;noun;number_of_noun;Type;other_cxn;context_pre;costr;context_post;assignment_0;assignment_1;assignment_2;assignment_3;assignment_4;split
303;a;che;juxtaposition/contact;guancia a guancia;yes;modifier;guancia;sg;_;_;Primo piano dei due volti - quello scuro di mio figlio e quello chiarissimo di Hans - che,;guancia a guancia;, ridono felici.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
537;a;venditore;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;La brochure patinata del venditore;porta a porta;mostrava campi da golf verdissimi e piscine, ma tutto quello che il bambino vede è terra da cimitero e qualche lattina arrugginita.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
598;a;Nick;juxtaposition/contact;spalla a spalla;yes;modifier;spalla;sg;_;_;Arrivo di corsa e trovo Gabriel e Nick,;spalla a spalla;, che aspettano.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
145;a;sangue;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;come una ferita che lascia sgorgare il sangue;goccia a goccia;.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
464;a;differenziato;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;"In particolare, anche in Italia ci sono esperienze straordinarie a riguardo, conta la raccolta differenziata """;porta a porta;""", domiciliarizzata, portare il servizio vicino alle famiglie.";test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
452;a;bigiotteria;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;Profumino invadente di tabaccaio di lusso spacciato per raro oggetto di profumeria, qui la tirchieria è di casa, roba che ti intontisce l'olfatto, venditrice di bigiotteria;porta a porta;o casalinga con marito assente, fa tante telefonate ad amiche che fanno anche loro tante telefonate.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
379;a;battere;succession/iteration/distributivity;palmo a palmo;yes;modifier;palmo;sg;_;_;Da quella sera, fino a ieri pomeriggio, carabinieri, polizia e vigili del fuoco hanno continuato a cercare madre e figlio, battendo;palmo a palmo;la zona lungo il fiume e scandagliando le acque del Livenza, che a tratti ha correnti molto forti e profondità dai cinque ai nove metri.;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
553;a;vendita;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;15 giovani intraprendenti, anche senza esperienza, hanno la possibilità di entrare a far parte dell'organizzazione commerciale come incaricati alla vendita;porta a porta;, pagati a provvigioni.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
473;a;differenziato;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;Al via la raccolta differenziata a Molini, Girola e Valtenna Mercoledì 18 dicembre inizia il nuovo servizio di raccolta differenziata -;porta a porta;nei quartieri Molini, Girola e Valtenna.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
141;a;trovare;juxtaposition/contact;fronte a fronte;yes;modifier;fronte;sg;_;_;Una volta tolte di mezzo le operaie, le due regine si trovano;fronte a fronte;.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
313;a;stare;juxtaposition/contact;muro a muro;yes;modifier;muro;sg;_;_;A Lucas Avenue guardavamo dall'alto in basso quelle disgraziate nei casini di Chestnut o di Market Strect, che stavano;muro a muro;con i teatri di varietà, le case da gioco dove un bullo poteva tentare la fortuna al faro o ad altri giochi, trovare qualsiasi tipo di liquore, e soddisfare qualunque capriccio sessuale.;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
434;a;campagna;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;Ma Davi suggerisce, se la vicenda Unipol dovesse monopolizzare tv e giornali nazionali ancora per mesi, di fare una campagna;porta a porta;: «Rinunciare a fare di Rai3 una rete militante, preferire interviste ai giornali e alle tv locali, tanta radio, non solo nelle emittenti di sinistra, comizi».;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
486;a;quotidiano;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;La sua storia di origini americane risale agli Anni 40 quando fu adottata dai ragazzi che consegnavano i quotidiani;porta a porta;.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
437;a;vendita;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;Un trucchetto che mi ha insegnato un mio ex che faceva vendite;porta a porta;non so più di cosa.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
376;a;scrutare;succession/iteration/distributivity;palmo a palmo;yes;modifier;palmo;sg;_;_;E invece la sua macchina, accompagnata dai rintocchi della campana di Montecitorio, è arrivata puntualissima sul piazzale della Camera, scrutato;palmo a palmo;dai tiratori scelti appostati sui tetti.;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
336;a;controllare;succession/iteration/distributivity;palmo a palmo;yes;modifier;palmo;sg;_;_;La ragazza, piuttosto pallida ed esile, controllò;palmo a palmo;l'indumento alla ricerca di eventuali macchie, verificò le cuciture e gli orli, poi la drappeggiò attorno alle sue spalle e sul braccio sinistro e curò le pieghe una per una come se stesse rivestendo il suo padrone.;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
387;a;ispezionare;succession/iteration/distributivity;palmo a palmo;yes;modifier;palmo;sg;_;_;Tutta l'area è stata immediatamente interdetta e i carabinieri la stanno ispezionando;palmo a palmo;alla ricerca di altri indizi utili all'indagine.;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
135;a;a;succession/iteration/distributivity;fiocco a fiocco;yes;modifier;fiocco;sg;_;_;La neve continuava a cadere, fiocco a;fiocco a fiocco;accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
81;a;accanitamente;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;I due fratelli si scontrarono accanitamente;corpo a corpo;e morirono entrambi.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
79;a;scontro;juxtaposition/contact;corpo a corpo;yes;modifier;corpo;sg;_;_;Per contro la loro forze e il loro fisico non sono assolutamente adatti nello scontro;corpo a corpo;.;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
127;a;te;juxtaposition/contact;cuore a cuore;yes;modifier;cuore;sg;_;_;Ci deve essere la possibilità di rapporti concreti: la mamma deve poterti portare a letto, darti il bacio della buona notte, imboccarti se è necessario, stare con te;cuore a cuore;.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
524;a;firma;succession/iteration/distributivity;porta a porta;yes;modifier;porta;sg;_;_;Scompariranno le sue leggendarie ma costose campagne per il finanziamento, durante le quali migliaia di militanti stipendiati raccoglievano soldi e firme;porta a porta;.;test|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
