ID;preposition;pre_lemma;meaning;NPN;construction;syntactic_function;noun;number_of_noun;Type;other_cxn;context_pre;costr;context_post;assignment_0;assignment_1;assignment_2;assignment_3;assignment_4;split
165;a;fiele;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Io adesso ve la faccio bere a viso aperto come il fiele,;goccia a goccia;, fino all'ultima goccia.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
178;a;irrigazione;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Sarebbe meglio parlare di irrigazione;goccia a goccia;, quasi indipendente dai meriti dei ricercatori e dal valore del progetto presentato.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
645;a;denominare;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Emma (Iaia Forte) e Salvatore, denominato;volta a volta;Sal o Tore (Tommaso Ragno), sono una coppia in crisi che tenta di riattizzare il fuoco recitando - ad uso privato - il proprio rapporto.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
682;a;essere;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Una ulteriore complicazione dello schema risulterebbe se considerassimo come i destinatari grammaticali delle ottave dei poeti possano essere;volta a volta;, e anche nella medesima ottava, il proprio antagonista o il pubblico medesimo.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
663;a;recitare;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Una sua vanteria, immagino, di poter recitare;volta a volta;la parte del defensor fidei e dell'avvocato del diavolo, facendosi apologista ora dei carabinieri, ora dei lestofanti.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
711;a;rinvio;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Quindi il contratto collettivo si è affermato nella realtà concreta della gestione dei rapporti di lavoro o per forza propria ovvero in ragione dei rinvii;volta a volta;operati dal legislatore.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
698;a;politico;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Nelle regole probatorie legali, infatti si riscontra un fondamento che può essere sia epistemologico che politico,;volta a volta;"prevalendo l'esigenza di determinare esplicitamente un metodo per ""guidare il giudice alla ricerca"" (art. 103 197 c. p. p.).";train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
646;a;essere;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Durante più di due secoli essa fu;volta a volta;sotto il dominio dei Visconti, signori di Milano, sotto l'influenza del governo della Chiesa Romana, ebbe governi repubblicani, fu governata dalle più importanti famiglie cittadine in lotta tra loro per ottenere la supremazia.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
170;a;ma;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;L'acqua, dal canto suo, non scorreva più fluente, ma;goccia a goccia;, Una folla di gocce che se ne andavano mentre Mahdokht pativa.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
675;a;dovere;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Un agente di cambio, un venditore, una segretaria, un dirigente delle ferrovie, un professore universitario, un direttore d'albergo, devono;volta a volta;offrire un tipo di personalità diverso che, indipendentemente dalle differenze tra l'una e l'altra, deve rispondere sempre a una condizione: essere richiesto.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
183;a;irrigazione;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Secondo, meglio usare sistemi di irrigazione;goccia a goccia;, che non quelli a getto nebulizzato inmodoche vi sia un minor consumo d'acqua.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
171;a;parlare;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Nei giorni a venire e nelle notti illuni e nelle notti quando una luna fulgidissima splendeva sopra la terra, il vecchio avrebbe continuato a parlargli, a parlargli,;goccia a goccia;, sassolino su sassolino, petalo dopo petalo.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
145;a;sangue;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;come una ferita che lascia sgorgare il sangue;goccia a goccia;.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
637;a;e;juxtaposition/contact;testa a testa;yes;modifier;testa;sg;_;_;"Lei, liberandosi, mi accarezzò la guancia; eravamo appoggiati di fianco al finestrino e,";testa a testa;, con la fronte appoggiata al vetro vedevamo correre veloci le nostre due ombre vicine, proiettate sulla campagna.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
672;a;metodologico;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;Ciò non sembra sufficiente per rispondere in modo adeguato a quanto mostrato dagli studi di storia della scienza: ovvero che gli scienziati non si comportano affatto secondo gli standard metodologici;volta a volta;avanzati.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
3;a;dirimpettaio;juxtaposition/contact;balcone a balcone;yes;modifier;balcone;sg;_;_;Così si sente superiore nel cortile, a esempio, sul cav. Bizzini, suo dirimpettaio,;balcone a balcone;, che vive con la figlia, il genero e i ragazzi un maschio e una femmina e potrebbe essere privilegiato, ma se sapesse scrollarsi di dosso il rischio di venir ficcato in un ospizio per anziani.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
641;a;parte;juxtaposition/contact;uscio a uscio;yes;modifier;uscio;sg;_;_;Erano nati a distanza di pochi giorni l'uno dall'altro e da generazioni le loro famiglie abitavano, come si dice da queste parti,;uscio a uscio;e così i due soci erano cresciuti assieme, assieme erano andati a scuola, quattro chilometri all'andata e quattro al ritorno, sotto il sole, con la neve o con la pioggia.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
671;a;opportunamente;succession/iteration/distributivity;volta a volta;yes;modifier;volta;sg;_;_;L'intento spiccatamente divulgativo non impedisce di raggiungere l'obiettivo di fornire una panoramica aggiornata e precisa, anche dal punto di vista quantitativo, di tutti questi fenomeni, rinviando opportunamente,;volta a volta;, alle fonti e alle indagini più approfondite pertinenti i diversi temi trattati.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;test|yes|a|_|_;train
173;a;centellinare;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Era solito compiacersi nel centellinare;goccia a goccia;l'esposizione delle proprie opinioni per tenere in sospeso gli ascoltatori.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
135;a;a;succession/iteration/distributivity;fiocco a fiocco;yes;modifier;fiocco;sg;_;_;La neve continuava a cadere, fiocco a;fiocco a fiocco;accresceva lo spessore di bianco e di silenzio, senso di distanza dal resto del mondo.;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
187;a;sgorgare;succession/iteration/distributivity;goccia a goccia;yes;modifier;goccia;sg;_;_;Spesso il sangue si mette a sgorgare;goccia a goccia;o in modo continuo, iniziando improvvisamente senza una ragione apparente: talvolta i genitori notano solo l'orecchio o il cuscino sporco di sangue.;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train
291;a;condurre;succession/iteration/distributivity;grado a grado;yes;modifier;grado;sg;_;_;Catturato dalle sempre più sottili distinzioni e puntualizzazioni che lo conducono;grado a grado;"verso le profondità del microcosmo, il lettore ha la sorpresa di trovarsi alla fine in un terreno che ha le dimensioni dell'universo e un colore umano inconfondibile: E fortuna d'essermi senza volere trovato quasi solo usufruttuario d'un territorio senza confini, in un mondo spezzettato ormai in tante proprietà private, dove non è più palmo che non sia chiuso da cancelli cinto da filo spinato, ringhioso di cani da guardia; desideroso io solo di qualcosa che nessuno mi disputa, nessuno anzi vede (e se chi passa chiede, alla spiegazione sorride incredulo o commiserante).";train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train|yes|a|_|_;train
639;a;quaderno;juxtaposition/contact;testa a testa;yes;modifier;testa;sg;_;_;Giovanissime, con le treccine e gli occhialetti, stanno chine sui quaderni,;testa a testa;insieme ai loro studenti: quelli incapaci di tenere il passo della grande macchina alla conquista del pianeta.;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;train|yes|a|_|_;test|yes|a|_|_;train
