NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
24 su 24;no;su;24;vicinanza;Infatti la scommessa era quella dell' accompagnamento educativo, la presenza, la vicinanza;24 su 24;ore per tot mesi verso chi ne aveva bisogno.;X;NumPNum;no;distractor;_
fiume a fiume;no;a;fiume;da;L'intero universo si inchinò al tirannosauro: io mi chiudevo dentro al guscio o balzavo da;_;_;_;_;_;_;_
corsi su corsi;yes;su;corso;fare;Ultimamente, siccome si dice che questi ragazzi e queste ragazze non imparano niente, allora si fanno;corsi su corsi;per vedere come avvicinarsi, quindi per curare la relazione, però sempre in un modo strumentale, come mezzo per arrivare al RAZIONALE.;pl;_;_;greater_plurality/accumulation;nominal
strato su strato;yes;su;strato;formare;La storia poco nota di questa parte di Roma è di straordinario interesse e basterebbe quasi, da sola, a illustrare attraverso quali peripezie militari e religiose si sia venuta formando,;strato su strato;, la città attuale.;sg;_;_;succession/iteration/distributivity;modifier
parlamentari su parlamentari;yes;su;parlamentare;avvicinare;Per mesi Gianni Letta e i lobbisti del Biscione avevano avvicinato;parlamentari su parlamentari;.;pl;_;_;greater_plurality/accumulation;nominal
goccia a goccia;yes;a;goccia;centellinare;Era solito compiacersi nel centellinare;goccia a goccia;l'esposizione delle proprie opinioni per tenere in sospeso gli ascoltatori.;sg;_;_;succession/iteration/distributivity;modifier
gomito a gomito;yes;a;gomito;silenzio;Mi insegnò a lavorare coi ferri e stavamo lunghe ore in silenzio,;gomito a gomito;, su quelle sedie della cucina che mi dimenticavo di far impagliare.;sg;_;_;juxtaposition/contact;modifier
gomito a gomito;yes;a;gomito;lavorare;Emiliano è un pm di prima linea: è stato in Sicilia dove ha lavorato;gomito a gomito;"con Rosario Livatino, il giovane magistrato ucciso dalla mafia; poi a Brindisi dove con una serie di inchieste ha decapitato la mafia pugliese, la Sacra Corona Unita.";sg;_;_;juxtaposition/contact;modifier
popolo a popolo;no;a;popolo;morale;"Come precisa a tale proposito Croce, ""l'assolutezza dell'attività morale non esclude, anzi include, il variare degli atti morali
porta a porta;no;a;porta;da;Suvereto ha una strada centrale da
porta a porta;no;a;porta;da;Per diversi mesi si è visto, alla Tv, un signore che, con la borsa della spesa, passa da
porta a porta;no;a;porta;da;Mangiarono una sola castagna a testa e ne vendettero il rimanente da
porta a porta;no;a;porta;da;I plateali schiamazzi di Cesare Maldini, le urla scomposte di Marco Tardelli, così diverse e lontane da quelle del leggendario Bernabeu, hanno scandito l'inutile processione da
porta a porta;no;a;porta;da;Sulla ribattuta della difesa, la palla giunge a Orlandini che, incredulo, può involarsi da
porta a porta;no;a;porta;a;In particolare si sta mettendo a punto la raccolta differenziata mista che prevede un intervento definito """" a""";_;_;_;_;_;_;_
zona a zona;no;a;zona;da;Le regole molto spesso vanno decise da;_;_;_;_;_;_;_
generazioni su generazioni;yes;su;generazione;battezzare;Nei paesi in passato il parroco rimaneva nello stesso posto anche quaranta - cinquanta anni e battezzava;generazioni su generazioni;, oggi in una realtà in continuo cambiamento, questo fatto non è accettabile, pur riconoscendo che occorre un certo numero di anni per realizzare un progetto o per stabilire un rapporto profondo.;pl;_;_;greater_plurality/accumulation;nominal
situazione a situazione;no;a;situazione;da;Il peso di Rifondazione comunista è diverso da;_;_;_;_;_;_;_
4 su 4;no;su;4;estivo;Risultato, al ritorno dopo l' operazione estiva,;4 su 4;da dove conta tre.;X;NumPNum;no;distractor;_
zona a zona;no;a;zona;da;Quest'ultima si è frammentata in una pluralità di dialetti che talora, come a esempio a Bologna, variano da;_;_;_;_;_;_;_
file su file;yes;su;file;incassare;Il salotto era ampio e le pareti, nelle quali erano incassate;file su file;"di scaffali laccati di nero, erano tappezzate di una stoffa damascata in cui il nero prevaleva sul rosso; divano e poltrone erano rivestiti dello stesso tessuto delle pareti e i tappeti armonizzavano con il resto dell'arredamento";pl;_;_;greater_plurality/accumulation;nominal
goccia a goccia;yes;a;goccia;centellinare;«Be', non spetta a noi ammirare questo centellinare;goccia a goccia;,» rispose Theresa.;sg;_;_;succession/iteration/distributivity;modifier
bocca a bocca;yes;a;bocca;respirazione;È stato qualche anno fa e ricordo ogni minimo dettaglio: lui disteso per terra, attraverso la portiera schiacciata stava facendo la respirazione;bocca a bocca;a una donna che aveva perso conoscenza.;sg;_;_;juxtaposition/contact;modifier
zona a zona;no;a;zona;da;La malaria è diffusa in tutta la fascia compresa fra i due tropici con variazioni da;_;_;_;_;_;_;_
legni su legni;yes;su;legno;inchiodare;Le avanguardie, paradossali e inverosimili, enigmatiche, che mettono insieme una maniglia e la dalia paonazza di un dolore acuto, che lanciano fiamme su tesi materiali da imballaggio, che inchiodano;legni su legni;con chiodi di già arrugginiti, di già tutti ritorti, rimediati, e che incollano, coi liquami dei colori industriali, cortecce che di una guerra hanno visto di striscio un fuggiasco che correva slacciandosi la corazzetta coi muscoli sbalzati... ecco chi scrive la storia: chi raccatta gli aneddoti, ci sputa dietro e te li appiccica in fronte, e taglia e cuce, senza badare per niente all'armonia, al bell'insieme... cosa significa?;pl;_;_;greater_plurality/accumulation;nominal
Tornante su tornante;yes;su;tornante;cisto;sotto una falesia di roccia tra macchia mediterranea e cespugli di euforbia .  Tornante su tornante il panorama si allarga : tutto intorno macchia mediterranea , cespugli di cisto;Tornante su tornante;il panorama si allarga: tutto intorno macchia mediterranea, cespugli di cisto, qualche boschetto di eucalipti e tra le rocce la vista di Siniscola.;sg;_;_;succession/iteration/distributivity;modifier
bocca a bocca;yes;a;bocca;respirazione;Non hai preso lezioni di pronto soccorso, non sai come si fa un massaggio cardiaco, non ti piace la respirazione;bocca a bocca;, trovi inutile quindi fermarti a guardare.;sg;_;_;juxtaposition/contact;modifier
119 su 119;no;su;119;tutto;Attivate al 100 % le procedure di bonifica per i siti inquinati a breve termine, in tutto;119 su 119;, e al 58 % quelle per i 146 siti a medio termine, mentre per i 60 siti di piano definiti ' in approfondimentò (considerati a medio termine nell' attesa della definitiva classificazione nell' ambito dell' approvazione dei Piani Provinciali), tale percentuale scende al 32 %.;X;NumPNum;no;distractor;_
bocca a bocca;yes;a;bocca;respirazione;Karin levò la mano: Ma nella Bibbia c'è scritto che Dio ha soffiato la vita dentro il primo uomo... La respirazione;bocca a bocca;.;sg;_;_;juxtaposition/contact;modifier
zero a zero;no;a;zero;finire;Il 26 settembre 1973 Caszely gioca contro l'URSS allo Stadio Lenin di Mosca e la partita finisce;_;_;_;_;_;_;_
uomo su uomo;no;su;uomo;di;Con lo spargimento di sangue innocente (sopruso di;uomo su uomo;) che ne consegue.;sg;thematic_target;no;distractor;_
gomito a gomito;yes;a;gomito;collaborare;Così a parità di lavoro svolto, collaboriamo;gomito a gomito;con colleghi che usufruiscono di notevoli incentivi economici.;sg;_;_;juxtaposition/contact;modifier
strati su strati;yes;su;strato;da;L'edificio era chiuso con assi di legno e fregiato da;strati su strati;di graffiti.;pl;_;_;greater_plurality/accumulation;nominal
39 su 39;no;su;39;a;Essi hanno scoperto che Red Book è stato in grado di fornire con successo le risposte a;39 su 39;richieste su problemi clinici, con una media di 10 secondi per ricerca.;X;NumPNum;no;distractor;_
soldi su soldi;yes;su;soldi;individuo;"Si tratta di un accidente della natura, in certi individui; una volta che si è iniziato, non c'è modo di fermarsi,";soldi su soldi;.;pl;_;_;greater_plurality/accumulation;nominal
zona a zona;no;a;zona;da;Oltre ad essere diversa da;_;_;_;_;_;_;_
gomito a gomito;yes;a;gomito;stare;All'alba di ieri, su quella carcassa arrivata dritta sulla spiaggia di Le Cannella una delle località di mare più belle di Isola Capo Rizzuto stavano;gomito a gomito;317 persone, per lo più curdi, pakistani e afgani.;sg;_;_;juxtaposition/contact;modifier
balle su balle;yes;su;balla;Italia;Il meccanismo adottato in Francia per convincere i cittadini della ineluttabilità del nucleare è lo stesso adottato di recente in Italia:;balle su balle;raccontate da venduti e soldi su soldi per la pubblicità e per foraggiare i giornali.;pl;_;_;greater_plurality/accumulation;nominal
scherzi su scherzi;yes;su;scherzo;inanellare;L'anarchico Chaplin aveva imparato a sbeffeggiare i nemici (e anche gli amici) inanellando;scherzi su scherzi;.;pl;_;_;greater_plurality/accumulation;nominal
2 su 2;no;su;2;con;Il MF salernitano si è portato da solo al comando con;2 su 2;, poi ha perso con Braga, ma la vittoria al sesto turno con Belotti lo ha ricatapultato da solo al primo posto a quota 4.5 su 6.;X;NumPNum;no;distractor;_
mattone su mattone;yes;su;mattone;mondo;A ventisei anni, nel 1972, scrivere le prime poesie - Lego sull'incontro con la madre e i fratelli consanguinei è un modo di costruirsi il mondo;mattone su mattone;come un giocattolo solido e colorato, con la stessa fantasia e la stessa pazienza di un bambino.;sg;_;_;succession/iteration/distributivity;modifier
autonomia su autonomia;no;su;autonomia;di;Che ripeto che ricordo sono quelle delle inchieste sui gruppi terroristici Brigate Rosse prima linea sono quelli dell'inchiesta di;autonomia su autonomia;operaia inchiesta com'era sette aprile.;sg;proper_name_inglobation;no;distractor;_
24 su 24;no;su;24;disponibile;Tale contenitore poi, grazie alla tecnologia e software di ultima generazione, è disponibile;24 su 24;online e aggiornato in tempo reale, permettendo così ai potenziali clienti di visionare gli immobili direttamente da casa o ufficio, e ai collaboratori del gruppo sparsi in Italia o all' estero di consultare e fornire proposte svincolate dal limite della territorialità di competenza.;X;NumPNum;no;distractor;_
curve su curve;yes;su;curva;389;All'altezza della rocca di Posada si penetra nell'interno proseguendo sulla statale 389:;curve su curve;dove è possibile non incrociare altre macchine.;pl;_;_;greater_plurality/accumulation;nominal
bisogni su bisogni;yes;su;bisogno;assorbire;Nei campi è uno spumeggiare di queste sanguisughe parlanti in frenetica attività succhiatoria e anche psicotropica, assorbono;bisogni su bisogni;, emettono pezzi di promessa, certezza, appuntamenti, visioni.;pl;_;_;greater_plurality/accumulation;nominal
