NPN;construction;preposition;noun;pre_lemma;context_pre;costr;context_post;number_of_noun;Type;other_cxn;meaning;syntactic_function
guancia a guancia;yes;a;guancia;così;Stemmo a lungo insieme, così,;guancia a guancia;.;sg;_;_;juxtaposition/contact;modifier
base su base;no;su;base;di;La Commissione può ora rimborsare spese generali di;base su base;forfetaria o versare importi forfetari per piccoli progetti - di gruppi vulnerabili, per esempio.;sg;N_extended;no;distractor;_
strati su strati;yes;su;strato;sovrapporre;"""Basta con le tante scene di passeggeri che viaggiano sovrapposti";strati su strati;", come in una dantesca millefoglie - è sbottato in una diretta Facebook il Governatore con il suo solito linguaggio colorito - da oggi pugno duro: i campani potranno disporsi al massimo su tre strati"".";pl;_;_;greater_plurality/accumulation;nominal
gomito a gomito;yes;a;gomito;lavorare;Cosa crede che succeda quando uno della valle di Ossau lavora;gomito a gomito;con uno della valle del Gave?;sg;_;_;juxtaposition/contact;modifier
centesimo su centesimo;yes;su;centesimo;restituire;Aveva anche chiesto soldi in prestito ai suoi amanti, senza pudore, e li aveva, ogni volta, restituiti,;centesimo su centesimo;.;sg;_;_;succession/iteration/distributivity;modifier
porta a porta;yes;a;porta;vendita;15 giovani intraprendenti, anche senza esperienza, hanno la possibilità di entrare a far parte dell'organizzazione commerciale come incaricati alla vendita;porta a porta;, pagati a provvigioni.;sg;_;_;succession/iteration/distributivity;modifier
sentenze su sentenze;yes;su;sentenza;con;Anche se quel reato, ha stabilito negli anni la Cassazione con;sentenze su sentenze;"circa il senso del pudore e della ""continenza sessuale"", è di fatto tollerato se non se ne fa offerta al pubblico.";pl;_;_;greater_plurality/accumulation;nominal
borotalco su borotalco;yes;su;borotalco;mettere;Il suo amore per i libri era nato là, a mettere;borotalco su borotalco;sui libri della biblioteca della scuola, borotalco melmoso e poi ancora borotalco melmoso alla pagina dopo - se eri riuscito a scollarla - tra risate e chiacchiere frenetiche, programmando impraticabili scherzi.;sg;_;_;greater_plurality/accumulation;nominal
soggetto a soggetto;no;a;soggetto;da;L'effetto clinico della singola dose si manifesta con una latenza e una durata molto variabile da;_;_;_;_;_;_;_
Berlinguer su Berlinguer;no;su;Berlinguer;di;Si potrebbe provare A ragionare di;Berlinguer su Berlinguer;a partire da alcuni grandi punti del suo pensiero.;X;thematic_target;no;distractor;_
stazione a stazione;no;a;stazione;da;Ho voluto seguire il tragitto di due treni da;_;_;_;_;_;_;_
goccia a goccia ;no;a;goccia;a;Quella donna fu sottoposta alla tortura dell'acqua: ne dovette ingurgitare litri e litri, a;_;_;_;_;_;_;_
accusa su accusa;yes;su;accusa;parola;Per fortuna, conosceva la lingua così bene che capì ogni cosa, e si potette difendere, parola su parola ,;accusa su accusa;, prova su prova, senza perdersi d'animo.;sg;_;_;succession/iteration/distributivity;modifier
corpo a corpo;no;a;corpo;da;Mi sono avvicinato all'opera da;_;_;_;_;_;_;_
10 su 10;no;su;10;un;E mentre Berlusconi si assegna un;10 su 10;,gli analisti affermano che il governo ha sprecato il suo primo anno.;X;NumPNum;no;distractor;_
Pisa su Pisa;no;su;Pisa;di;Martedì sera Umberto ha avuto una trovata che per poco non ha reso innocuo il pericolante edificio di insulti che ogni puntata pende su di lui, come la Torre di;Pisa su Pisa;.;X;proper_name_inglobation;no;distractor;_
guancia a guancia;yes;a;guancia;dire;Certo che me ne aveva raccontate di cose, e ricordo benissimo che, durante quei quattro giorni si può dire;guancia a guancia;, a ogni nuova confidenza mi si raddoppiavano i brividi lungo la schiena: perché si fidava tanto, perché si era fidata incondizionatamente di me?;sg;_;_;juxtaposition/contact;modifier
secondi su secondi;yes;su;secondo;perdere;Hakkinen passa in testa (deve ancora fare il pit - stop), Schumacher comincia a perdere;secondi su secondi;.;pl;_;_;greater_plurality/accumulation;nominal
dinamitardo a dinamitardo;no;a;dinamitardo;da;Come se un testimone fosse passato di mano da;_;_;_;_;_;_;_
cene su cene;yes;su;cena;organizzare;E fu senz'altro la disperazione che li portò a organizzare;cene su cene;con vino in abbondanza e conseguente e inevitabile sbronza collettiva.;pl;_;_;greater_plurality/accumulation;nominal
uomo su uomo;no;su;uomo;di;Con lo spargimento di sangue innocente (sopruso di;uomo su uomo;) che ne consegue.;sg;thematic_target;no;distractor;_
paese a paese;no;a;paese;da;Mentre la forma e il livello esatti di oneri a carico del beneficiario varia considerevolmente da;_;_;_;_;_;_;_
incarichi su incarichi;yes;su;incarico;tempo;Così finii, ancora una volta, ad accumulare in breve tempo;incarichi su incarichi;, fino ad arrivare a dirigere l'intera divisione.;pl;_;_;greater_plurality/accumulation;nominal
